,bgm,bpm,genre,language,public_time,attitude,emotion,match,like_time,unlike_time
880,耀仔 - 我知道你 (拍手版),89.10290948275862,hiphop,纯音乐,2020-01-10,positive,sad,0,0,0
881,耀仔 - 春娇与志明,161.4990234375,hiphop,粤语,2020-01-15,positive,sad,0,0,0
882,者思范、汪金金先生鸭 - 生活值得期待 (完整版) (Remix),107.666015625,Pop,纯音乐,2020-03-31,positive,sad,0,0,0
883,胡夏 - 知否知否,103.359375,Soundtrack,国语,2019-01-16,positive,sad,0,0,0
884,胡小斐 _ 董嘉鸿 - 一不小心爱上你,99.38401442307692,pop,国语,2019-05-19,positive,sad,0,0,0
885,胡彦斌 - 你要的全拿走,135.99917763157896,R&B,国语,2018-01-23,negative,sad,0,0,0
886,胡歌 - 一吻天荒,86.1328125,Pop,国语,2012-07-16,negative,sad,0,0,0
887,苏天伦 - 你拿什么来感同身受 (咚鼓版),129.19921875,Pop,纯音乐,2020-03-30,negative,sad,0,0,0
888,苏晗 - 离岸,67.99958881578948,Pop,国语,2019-07-10,negative,sad,0,0,0
889,茄子蛋 - 日常,129.19921875,Rock,国语,2017-07-28,negative,sad,0,0,0
890,茄子蛋 - 浪子回头,129.19921875,Rock,闽南语,2017-07-28,negative,sad,0,0,0
891,草东没有派对 - 山海,161.4990234375,Rock,国语,2016-02-19,negative,sad,0,0,0
892,葛东琪 - 悬溺,95.703125,metal,国语,2019-10-18,negative,sad,0,0,0
893,蒋先生 - 我也不想这样难过 (DJ版),129.19921875,Pop,纯音乐,2020-03-14,negative,sad,0,0,0
894,蒋蒋 _ 曲肖冰 - 当真,129.19921875,Pop,国语,2018-08-24,negative,sad,0,0,0
895,蓝心羽 - 小宇,143.5546875,Pop,国语,2019-02-01,negative,sad,0,0,0
896,蔡健雅 - 红色高跟鞋,172.265625,Pop,国语,2009-08-19,negative,sad,0,0,0
897,蔡健雅 - 越来越不懂,135.99917763157896,Pop,国语,2007-10-05,negative,sad,0,0,0
898,薛之谦 - 木偶人,117.45383522727272,Pop,国语,2019-12-27,negative,sad,0,0,0
899,薛之谦 - 演员,184.5703125,Pop,国语,2016-07-18,negative,sad,0,0,0
900,薛之谦 - 病态,123.046875,Pop,国语,2019-12-27,negative,sad,0,0,0
901,藤竹京 - 此生不换 (片段),129.19921875,country,国语,2019-05-10,negative,sad,0,0,0
902,街道办GDC _ 欧阳耀莹 - 春娇与志明,172.265625,Rap/HipHop,粤语,2017-06-25,negative,sad,0,0,0
